id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
82094148,2021-06-07T23:44:16Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708858/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Heteromeles arbutifolia,Toyon,53405,species,47126|211194|47124|47132|47148|53408|53405
82094534,2021-06-07T23:47:45Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134709586/medium.jpeg,,34.1233444214,-118.4091110229,,open,False,Trachemys scripta,Common Slider,39782,species,1|2|26036|39532|39760|39776|39782
82094833,2021-06-07T23:51:03Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134710141/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Malosma laurina,laurel sumac,64122,species,47126|211194|47124|47729|48874|64123|64122
82094865,2021-06-07T23:51:13Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134710180/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Malosma laurina,laurel sumac,64122,species,47126|211194|47124|47729|48874|64123|64122
82095097,2021-06-07T21:05:36Z,3435784,ddakduk,research,,https://static.inaturalist.org/photos/134710455/medium.jpeg,,34.1266666667,-118.2975,,open,False,Sylvilagus audubonii,Desert Cottontail,43115,species,1|2|40151|43094|43095|43096|43115
82095465,2021-06-07T21:17:13Z,3435784,ddakduk,research,,https://static.inaturalist.org/photos/134711015/medium.jpeg,,34.1247222222,-118.2969444444,,open,False,Zenaida macroura,Mourning Dove,3454,species,1|2|3|2708|2715|3438|3454
82095482,2021-06-07T23:56:18Z,1178539,taylordc,research,,https://static.inaturalist.org/photos/134711037/medium.jpg,,34.0643500084,-118.2704086087,,,False,Foeniculum vulgare,fennel,53052,species,47126|211194|47124|48700|48699|53053|53052
82095694,2021-06-07T15:16:37Z,3435784,ddakduk,research,,https://static.inaturalist.org/photos/134711248/medium.jpeg,,34.1176531667,-118.2941673611,,open,False,Melozone crissalis,California Towhee,73044,species,1|2|3|7251|559248|9522|73044
82097429,2021-06-07T23:26:27Z,3575488,tknightdiver,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134714146/medium.jpg,,34.1556695,-118.4213633333,,open,False,Sialia mexicana,Western Bluebird,12937,species,1|2|3|7251|15977|12935|12937
82099871,2021-06-08T00:39:01Z,4526931,frauleinikasama,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134718887/medium.jpg,,34.0038848853,-118.4206926403,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
82100100,2021-06-08T00:32:01Z,3284980,leahaviva,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134719145/medium.jpg,,34.0074972167,-118.35395,,open,False,Accipiter cooperii,Cooper's Hawk,5112,species,1|2|3|71261|5067|5085|5112
82103387,2021-06-07T23:34:41Z,2302714,jordanburkhardt,needs_id,CC0,https://static.inaturalist.org/photos/134725000/medium.jpg,,34.0633695,-118.460495,,,False,Taraxacum,dandelions,47603,genus,47126|211194|47124|47605|47604|47603
82103466,2021-06-07T23:36:21Z,2302714,jordanburkhardt,research,CC0,https://static.inaturalist.org/photos/134725243/medium.jpg,,34.0641278333,-118.4612583333,,open,False,Zenaida macroura,Mourning Dove,3454,species,1|2|3|2708|2715|3438|3454
