id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
90466481,473,American Coot,Fulica americana,andrewl,https://inaturalist-open-data.s3.amazonaws.com/photos/149517598/medium.jpeg,species,472,1|2|3|4|154|472|473,34,34,,
90075665,11901,Barn Swallow,Hirundo rustica,gregslak,https://inaturalist-open-data.s3.amazonaws.com/photos/148819904/medium.jpeg,species,11880,1|2|3|7251|11853|11880|11901,34,35,,
86232099,58796,woollypod milkweed,Asclepias eriocarpa,imeldaromero,https://static.inaturalist.org/photos/142024114/medium.jpeg,species,47906,47126|211194|47124|47363|47362|47906|58796,34,34,,
90228774,264380,,Habronattus pyrrithrix,bradrumble,https://inaturalist-open-data.s3.amazonaws.com/photos/149099398/medium.jpg,species,61881,1|47120|47119|47118|48139|61881|264380,34,34,,
90038621,53168,Creeping Woodsorrel,Oxalis corniculata,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148752883/medium.jpeg,species,47758,47126|211194|47124|70233|47759|47758|53168,34,34,,
90852807,9744,Red-winged Blackbird,Agelaius phoeniceus,kgerner,https://inaturalist-open-data.s3.amazonaws.com/photos/150194281/medium.jpeg,species,9740,1|2|3|7251|11989|9740|9744,33,33,Birds,Stream/Riparian Species
90298359,47822,True Flies,Diptera,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149218098/medium.jpeg,order,47158,1|47120|47158|47822,33,664,,
92517669,56739,castor bean,Ricinus communis,brandonwsmacdonald,https://inaturalist-open-data.s3.amazonaws.com/photos/153198903/medium.jpg,species,56740,47126|211194|47124|51820|51821|56740|56739,33,33,,
90114157,8010,Common Raven,Corvus corax,zacpeterson,https://inaturalist-open-data.s3.amazonaws.com/photos/148892615/medium.jpeg,species,7998,1|2|3|7251|7823|7998|8010,32,32,,
90568407,13858,House Sparrow,Passer domesticus,alix5963,https://inaturalist-open-data.s3.amazonaws.com/photos/149696790/medium.jpeg,species,13847,1|2|3|7251|13685|13847|13858,32,32,,
90508399,51271,Red-eared Slider,Trachemys scripta elegans,outdoorsygal,https://inaturalist-open-data.s3.amazonaws.com/photos/149598812/medium.jpg,subspecies,39782,1|2|26036|39532|39760|39776|39782|51271,32,32,,
90656331,12937,Western Bluebird,Sialia mexicana,andreacala,https://inaturalist-open-data.s3.amazonaws.com/photos/149849178/medium.jpeg,species,12935,1|2|3|7251|15977|12935|12937,32,32,Birds,Neighborhood Species
89965541,132070,Mediterranean Katydid,Phaneroptera nana,scubabruin,https://inaturalist-open-data.s3.amazonaws.com/photos/148620182/medium.jpg,species,48130,1|47120|47158|47651|48124|48130|132070,32,32,,
90294437,58231,western sycamore,Platanus racemosa,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149210480/medium.jpeg,species,49664,47126|211194|47124|64516|49663|49664|58231,31,31,,
90625514,480298,Garden Snail,Cornu aspersum,yarbtina,https://inaturalist-open-data.s3.amazonaws.com/photos/149801456/medium.jpeg,species,87634,1|47115|47114|47485|47484|87634|480298,31,31,,
92497664,13893,Scaly-breasted Munia,Lonchura punctulata,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153161742/medium.jpeg,species,13881,1|2|3|7251|71322|13881|13893,31,31,,
90232649,47383,Brown Widow,Latrodectus geometricus,mxecocentric,https://inaturalist-open-data.s3.amazonaws.com/photos/149106249/medium.jpg,species,47370,1|47120|47119|47118|47371|47370|47383,31,31,,
90510514,47817,Flame Skimmer,Libellula saturata,outdoorsygal,https://inaturalist-open-data.s3.amazonaws.com/photos/149602068/medium.jpg,species,47818,1|47120|47158|47792|47819|47818|47817,30,30,,
89834386,12727,American Robin,Turdus migratorius,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148390524/medium.jpeg,species,12705,1|2|3|7251|15977|12705|12727,30,30,,
90323744,76904,Flax-leaved Horseweed,Erigeron bonariensis,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149263010/medium.jpeg,species,50879,47126|211194|47124|47605|47604|50879|76904,30,30,,
90080272,84640,European Paper Wasp,Polistes dominula,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148827675/medium.jpeg,species,52756,1|47120|47158|47201|52747|52756|84640,30,30,,
90466436,36094,Common Side-blotched Lizard,Uta stansburiana,andrewl,https://inaturalist-open-data.s3.amazonaws.com/photos/149517062/medium.jpeg,species,36090,1|2|26036|26172|36074|36090|36094,30,38,Reptiles,Park/Natural Area Species
92517182,64121,sugar bush,Rhus ovata,brandonwsmacdonald,https://inaturalist-open-data.s3.amazonaws.com/photos/153197922/medium.jpg,species,54765,47126|211194|47124|47729|48874|54765|64121,30,30,,
90214328,335597,,Halictini,naturephotosuze,https://static.inaturalist.org/photos/149071367/medium.jpg,tribe,49707,1|47120|47158|47201|49707|335597,29,29,,
90581868,6358,"Rufous, Allen's, and Allied Hummingbirds",Selasphorus,seallen,https://inaturalist-open-data.s3.amazonaws.com/photos/149720802/medium.jpg,genus,5562,1|2|3|67573|5562|6358,29,72,,
90306243,58803,California Brickellbush,Brickellia californica,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149233640/medium.jpeg,species,53502,47126|211194|47124|47605|47604|53502|58803,29,29,,
90228809,121821,Yellow-legged Mud-dauber Wasp,Sceliphron caementarium,bradrumble,https://inaturalist-open-data.s3.amazonaws.com/photos/149099463/medium.jpg,species,121822,1|47120|47158|47201|48742|121822|121821,29,29,,
90294387,7266,Bushtit,Psaltriparus minimus,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149209798/medium.jpeg,species,7265,1|2|3|7251|7264|7265|7266,29,29,,
89644974,118968,Oblique Streaktail,Allograpta obliqua,jendefran,https://inaturalist-open-data.s3.amazonaws.com/photos/148061053/medium.jpg,species,118969,1|47120|47158|47822|49995|118969|118968,29,29,,
