scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Neverita lewisii,Lewis's Moon Snail,Mollusca,447427,
Fucus distichus,Rockweed,Chromista,69155,
Saccharina,,Chromista,130243,
Austraeolis stearnsi,Stearns' Aeolid,Mollusca,50495,
Tylosurus acus,Keel-jawed needlefish,Actinopterygii,147189,
Synodus,,Actinopterygii,49411,
Zelentia pustulata,,Mollusca,564602,
Seriola dumerili,Greater Amberjack,Actinopterygii,51549,
Mugilidae,Mullets,Actinopterygii,54661,
Atherina presbyter,Sand Smelt,Actinopterygii,118594,
Percnon gibbesi,Nimble Spray Crab,Animalia,61372,
Eumalacostraca,"Decapods, Isopods, and allies",Animalia,774775,
Trachurus picturatus,Blue Jack Mackerel,Actinopterygii,120676,
Emerita analoga,Pacific Sand Crab,Animalia,47414,True
Porphyra,Nori,Plantae,123633,
Metacarcinus magister,Dungeness Crab,Animalia,63697,
Chlorophyta,green algae,Plantae,50863,True
Pyropia,,Plantae,370272,
Cirripedia,Barnacles,Animalia,210289,True
Nephtyidae,Catworms,Animalia,117606,
Calystegia soldanella,Sea Bindweed,Plantae,60880,
Ammophila arenaria,European marram grass,Plantae,61055,
Ulva lactuca,broadleaf sea lettuce,Plantae,67423,True
Fucus vesiculosus,bladder wrack,Chromista,48216,
Sepia officinalis,European Common Cuttlefish,Mollusca,151429,
Erronea xanthodon,yellow-toothed cowrie,Mollusca,602097,
Cabestana spengleri,Spengler's Trumpet Snail,Mollusca,353763,
Lottia pelta,Shield Limpet,Mollusca,63243,True
Membranipora membranacea,kelp lace bryozoan,Animalia,51027,True
Pugettia producta,Northern Kelp Crab,Animalia,49723,
Okenia angelensis,Los Angeles Okenia,Mollusca,50036,
Plocamium cartilagineum,Sea Comb,Plantae,327046,
Colpomenia tuberculata,,Chromista,320085,
Pugettia dalli,,Animalia,815941,
Petrolisthes cinctipes,Flat Porcelain Crab,Animalia,53620,
Stephanocystis dioica,,Chromista,126130,True
Phyllospadix scouleri,Scouler's Surfgrass,Plantae,78561,
Ulva californica,,Plantae,133216,
Doriopsilla,,Mollusca,47769,
